,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre,genre_1,genre_2
0,6.099,3.3,102,1500000,0,-1500000,crime,drama,horror
1,17.892,6.9,4629,5000000,108286422,103286422,drama,horror,mystery
3,13.183,5.6,1312,35000000,71118378,36118378,action,drama,history
4,16.493,7.9,6631,20000000,181025343,161025343,biography,drama,history
5,11.435,7.0,4469,18000000,60217171,42217171,adventure,biography,drama
8,14.8,6.5,2368,61000000,132493015,71493015,action,comedy,crime
10,14.835999999999999,6.8,6527,42000000,202812429,160812429,action,comedy,crime
11,11.175999999999998,6.9,5167,50000000,331333876,281333876,action,comedy,crime
12,2.213,6.5,31,1000000,549185,-450815,drama,family,sport
13,1.8159999999999998,6.0,2,7200000,295492,-6904508,drama,mystery,romance
15,11.011,6.1,1279,28000000,38959900,10959900,action,drama,thriller
16,11.315,5.6,825,28000000,40966716,12966716,action,comedy,crime
18,23.68,6.0,3870,110000000,330780051,220780051,action,fantasy,war
20,11.28,7.0,1028,31000000,97470701,66470701,biography,drama,sport
21,25.049,6.0,2080,175000000,151716815,-23283185,action,adventure,drama
22,8.689,5.7,102,12000000,87793,-11912207,action,drama,war
30,10.352,6.3,1066,20000000,14807531,-5192469,biography,drama,romance
32,11.886,7.0,906,100000,2769782,2669782,drama,fantasy,romance
36,11.055,5.9,589,35000000,11846010,-23153990,comedy,drama,romance
37,7.87,6.3,333,12500000,1100287,-11399713,comedy,drama,fantasy
38,9.104,6.1,251,4000000,442550,-3557450,adventure,crime,thriller
40,11.128,7.1,1918,43000000,46414530,3414530,animation,drama,fantasy
41,12.270999999999999,6.6,792,20000000,8846875,-11153125,crime,drama,thriller
42,10.267000000000001,6.5,784,15000000,36068890,21068890,crime,drama,thriller
43,9.795,5.5,1408,35000000,117729621,82729621,crime,drama,horror
44,29.154,7.3,5848,17000000,334522294,317522294,drama,horror,sci-fi
45,21.121,6.6,1756,20000000,97628717,77628717,comedy,crime,drama
47,7.12,7.5,500,8000000,17382693,9382693,biography,comedy,drama
50,19.373,6.3,1685,28000000,62108587,34108587,action,crime,drama
51,6.935,5.9,402,8000000,37119358,29119358,adventure,biography,comedy
52,12.529000000000002,5.0,1073,103000000,133401882,30401882,adventure,family,fantasy
53,17.69,5.8,1791,35000000,86648359,51648359,action,mystery,thriller
55,14.133,7.9,3981,12000000,89309178,77309178,comedy,drama,fantasy
57,12.498,5.6,2009,67500000,137489730,69989730,action,fantasy,horror
60,10.6,6.6,186,20000000,46627836,26627836,drama,romance,thriller
61,12.197000000000001,6.3,583,12000000,82497035,70497035,action,adventure,drama
65,5.466,6.4,86,20000000,38585047,18585047,action,adventure,biography
66,8.065,5.5,385,13000000,18733666,5733666,comedy,drama,romance
68,8.058,5.2,29,750000,0,-750000,crime,drama,thriller
70,14.415,5.1,4154,130000000,251499665,121499665,action,adventure,drama
71,8.166,6.2,217,5000000,1075009,-3924991,crime,drama,romance
72,6.971,3.9,56,65000000,516279,-64483721,action,adventure,drama
73,2.877,3.9,31,1200000,0,-1200000,comedy,crime,horror
75,9.962,5.1,424,35000000,35426759,426759,action,crime,mystery
78,16.642,6.5,3803,170000000,276928112,106928112,adventure,family,fantasy
79,24.651,5.9,4971,97000000,238521247,141521247,horror,sci-fi,thriller
80,7.249,6.4,695,45000000,54876855,9876855,biography,drama,music
81,7.871,6.0,493,20000000,873617,-19126383,crime,drama,mystery
82,9.869,6.6,949,8500000,10386814,1886814,action,adventure,drama
86,19.611,6.7,2765,106000000,119266661,13266661,action,drama,romance
88,11.022,7.5,1339,60000000,47371191,-12628809,comedy,drama,family
90,9.685,5.3,1226,37000000,25387091,-11612909,comedy,drama,romance
91,24.535999999999998,5.9,1167,51000000,99624873,48624873,adventure,fantasy,mystery
92,12.672,5.5,1055,80000000,349088523,269088523,adventure,animation,comedy
93,14.972999999999999,5.8,852,90000000,249517956,159517956,adventure,animation,comedy
95,7.271,4.6,213,10000000,2341218,-7658782,action,crime,drama
96,6.56,5.0,93,1000000,26,-999974,action,comedy,drama
97,8.777999999999999,6.7,417,3500000,2611750,-888250,adventure,drama,romance
