,popularity,vote_average,vote_count,production_budget,worldwide_gross,profit,genre
0,6.099,3.3,102,1500000,0,-1500000,crime
1,17.892,6.9,4629,5000000,108286422,103286422,drama
2,0.955,5.4,7,12000000,14616,-11985384,drama
3,13.183,5.6,1312,35000000,71118378,36118378,action
4,16.493,7.9,6631,20000000,181025343,161025343,biography
5,11.435,7.0,4469,18000000,60217171,42217171,adventure
6,10.899000000000001,6.3,576,4000000,47552,-3952448,horror
7,0.6,7.5,2,1000000,0,-1000000,drama
8,14.8,6.5,2368,61000000,132493015,71493015,action
9,7.8660000000000005,7.4,127,1000000,5892466,4892466,documentary
10,14.835999999999999,6.8,6527,42000000,202812429,160812429,action
11,11.175999999999998,6.9,5167,50000000,331333876,281333876,action
12,2.213,6.5,31,1000000,549185,-450815,drama
13,1.8159999999999998,6.0,2,7200000,295492,-6904508,drama
14,2.079,4.3,6,300000,39475,-260525,drama
15,11.011,6.1,1279,28000000,38959900,10959900,action
16,11.315,5.6,825,28000000,40966716,12966716,action
17,2.967,3.0,42,3000000,0,-3000000,comedy
18,23.68,6.0,3870,110000000,330780051,220780051,action
19,8.683,5.2,370,1500000,922727,-577273,horror
20,11.28,7.0,1028,31000000,97470701,66470701,biography
21,25.049,6.0,2080,175000000,151716815,-23283185,action
22,8.689,5.7,102,12000000,87793,-11912207,action
23,2.852,6.2,25,10000000,1069454,-8930546,drama
24,12.450999999999999,7.1,2111,8000000,41334735,33334735,documentary
25,0.84,8.0,2,2500000,0,-2500000,drama
26,2.19,6.2,11,2500000,100280,-2399720,documentary
27,5.797999999999999,5.3,63,5000000,4816142,-183858,drama
28,16.604,6.3,1044,28000000,127710550,99710550,adventure
29,5.885,7.1,97,10000000,1884251,-8115749,drama
30,10.352,6.3,1066,20000000,14807531,-5192469,biography
31,8.84,5.8,247,15000000,17224539,2224539,comedy
32,11.886,7.0,906,100000,2769782,2669782,drama
33,15.857999999999999,5.2,4437,92000000,304249198,212249198,action
34,6.909,5.5,871,2500000,59922558,57422558,comedy
35,6.9479999999999995,5.5,597,4000000,21206861,17206861,comedy
36,11.055,5.9,589,35000000,11846010,-23153990,comedy
37,7.87,6.3,333,12500000,1100287,-11399713,comedy
38,9.104,6.1,251,4000000,442550,-3557450,adventure
39,10.815999999999999,5.8,2219,40000000,86778557,46778557,comedy
40,11.128,7.1,1918,43000000,46414530,3414530,animation
41,12.270999999999999,6.6,792,20000000,8846875,-11153125,crime
42,10.267000000000001,6.5,784,15000000,36068890,21068890,crime
43,9.795,5.5,1408,35000000,117729621,82729621,crime
44,29.154,7.3,5848,17000000,334522294,317522294,drama
